Participant,Corpus1,Corpus2,Corpus3,Corpus4,Corpus5,Corpus6,Corpus7,Corpus8
Participant1,A1,B1,D1,C1,A2,B2,D2,C2
Participant2,B1,A1,C1,D1,A2,B2,D2,C2
Participant3,C1,D1,B1,A1,A2,B2,D2,C2
Participant4,D1,A1,C1,B1,A2,B2,D2,C2
Participant5,A1,B1,D1,C1,B2,C2,A2,D2
Participant6,B1,A1,C1,D1,B2,C2,A2,D2
Participant7,C1,D1,B1,A1,B2,C2,A2,D2
Participant8,D1,A1,C1,B1,B2,C2,A2,D2
Participant9,A1,B1,D1,C1,C2,D2,B2,A2
Participant10,B1,A1,C1,D1,C2,D2,B2,A2
Participant11,C1,D1,B1,A1,C2,D2,B2,A2
Participant12,D1,A1,C1,B1,C2,D2,B2,A2
Participant13,A1,B1,D1,C1,D2,A2,C2,B2
Participant14,B1,A1,C1,D1,D2,A2,C2,B2
Participant15,C1,D1,B1,A1,D2,A2,C2,B2
Participant16,D1,A1,C1,B1,D2,A2,C2,B2
