order,texts
1,"""Hey Google, play some hip hop."""
2,"""Hey Google, skip this track."""
3,"""Hey Google, turn on the Bedroom Light."""
4,"""Hey Google, read Women and Power."""
5,"""Hey Google, call the nearest coffee shop."""
6,"""Hey Google, How do you solve this problem?"""
7,"""Hey Google, how much time is left on this chapter?"""
8,"""Hey Google, Bluetooth pairing."""
9,"""Hey Google, flip a coin."""
10,"""Hey Google, set a second timer for 30 (Thir-ty) minutes."""
11,"""Hey Google, set the thermostat to 20 (Twenty) degrees."""
12,"""Hey Google, what is the time?"""
13,"""Hey Google, remember that I left the spare keys in the kitchen cupboard."""
14,"""Hey Google, when is Walmart open until?"""
15,"""Hey Google, brighten the office lamp."""
16,"""Hey Google, hang up."""
17,"""Hey Google, delete my reminder to pick up my dry cleaning."""
18,"""Hey Google, call my phone."""
19,"""Hey Google, broadcast 'dinner is ready'."""
20,"""Hey Google, add apples to my shopping list."""
