number,texts,texts_count
79,"""Hey Google, read a bedtime story.""",10
44,"""Hey Google, did the Liverpool win yesterday?""",11
73,"""Hey Google, redi-al.""",7
71,"""Hey Google, call the nearest coffee shop.""",11
18,"""Hey Google, stop the music.""",9
82,"""Hey Google, broadcast 'wake everybody up'.""",11
57,"""Hey Google, dim the living room lights.""",11
83,"""Hey Google, broadcast 'dinner is ready'.""",11
55,"""Hey Google, turn on the Bedroom Light.""",11
55,"""Hey Google, turn on the Bedroom Light.""",13
1,"""Hey Google, stop.""",7
23,"""Hey Google, play music on all the downstairs speakers.""",13
7,"""Hey Google, play some hip hop.""",10
26,"""Hey Google, snooze the alarm.""",9
77,"""Hey Google, what does an elephant sound like?""",12
36,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",17
61,"""Hey Google, play Batman on TV.""",10
45,"""Hey Google, what is the French word for grapefruit?""",13
3,"""Hey Google, help.""",7
34,"""Hey Google, what are my reminders for this week?""",13
