,number,texts,texts_count
6,77,"""Hey Google, what does an elephant sound like?""",12
7,33,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",18
8,10,"""Hey Google, play some music from Spotify.""",11
9,2,"""Hey Google, play Money by LISA from Spotify.""",12
10,53,"""Hey Google, flip a coin.""",9
11,20,"""Hey Google, read Women and Power.""",10
12,22,"""Hey Google, move my music to the bedroom""",11
13,79,"""Hey Google, read a bedtime story.""",10
14,9,"""Hey Google, Open Spotify.""",8
15,63,"""Hey Google, raise the temperature three degrees.""",11
16,72,"""Hey Google, hang up.""",8
17,84,"""Hey Google, broadcast 'time to leave for school'.""",13
18,58,"""Hey Google, brighten the office lamp.""",10
19,43,"""Hey Google, what is today's headlines?""",11
20,37,"""Hey Google, where did I put the spare keys?""",11
21,37,"""Hey Google, where did I put the spare keys?""",13
22,73,"""Hey Google, redial.""",7
23,51,"""Hey Google, are there any Italian restaurants around here?""",13
24,76,"""Hey Google, call my phone.""",9
25,31,"""Hey Google, do I have anything scheduled for Friday?""",13
