order,texts
1,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning."""
2,"""Hey Google, broadcast 'the football is about to start."""
3,"""Hey Google, flip a coin."""
4,"""Hey Google, spell artificial intelligence."""
5,"""Hey Google, how do you make ketchup?"""
6,"""Hey Google, play some music from Spotify."""
7,"""Hey Google, what are my reminders for this week?"""
8,"""Hey Google, stop the music in 15 (fifth-teen) minutes."""
9,"""Hey Google, brighten the office lamp."""
10,"""Hey Google, what does an elephant sound like?"""
11,"""Hey Google, lock the front door."""
12,"""Hey Google, read Women and Power."""
13,"""Hey Google, turn the living room lights to blue"""
14,"""Hey Google, call my phone."""
15,"""Hey Google, set the thermostat to 20 (Twenty) degrees."""
16,"""Hey Google, play my Evening Jazz playlist."""
17,"""Hey Google, did the Liverpool win yesterday?"""
18,"""Hey Google, sing a song."""
19,"""Hey Google, call the nearest coffee shop."""
20,"""Hey Google, pause the music."""
