Participant,Corpus,Condition,Trail,Target_Sentence,ASR_Sentence
Participant01,Corpus1,A1,1,"""Hey Google, read a bedtime story.""",-
Participant01,Corpus1,A1,2,"""Hey Google, did the Liverpool win yesterday?""",3 hey Google yesterday
Participant01,Corpus1,A1,3,"""Hey Google, redi-al.""",hey Google redial
Participant01,Corpus1,A1,4,"""Hey Google, call the nearest coffee shop.""",hey Google call the nearest coffee shop
Participant01,Corpus1,A1,5,"""Hey Google, stop the music.""",hey Google stop the music
Participant01,Corpus1,A1,6,"""Hey Google, broadcast 'wake everybody up'.""",hey Google what's the last break everybody up
Participant01,Corpus1,A1,7,"""Hey Google, dim the living room lights.""",Hey Google dim the living room lights
Participant01,Corpus1,A1,8,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast dinner is ready
Participant01,Corpus1,A1,9,"""Hey Google, turn on the Bedroom Light.""",hey Google turn on the bedroom lights
Participant01,Corpus1,A1,10,"""Hey Google, broadcast 'time to leave for school'.""",hey Google turn on the bedroom lights
Participant01,Corpus1,A1,11,"""Hey Google, stop.""",hey Google stop
Participant01,Corpus1,A1,12,"""Hey Google, play music on all the downstairs speakers.""",hey Google play music on all the downstairs speakers
Participant01,Corpus1,A1,13,"""Hey Google, play some hip hop.""",hey Google play some hip hop
Participant01,Corpus1,A1,14,"""Hey Google, snooze the alarm.""",hey Google snooze the alarm
Participant01,Corpus1,A1,15,"""Hey Google, what does an elephant sound like?""",hey Google what does an elephant sound like
Participant01,Corpus1,A1,16,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",-
Participant01,Corpus1,A1,17,"""Hey Google, play Batman on TV.""",-
Participant01,Corpus1,A1,18,"""Hey Google, what is the French word for grapefruit?""",Hey Google Assistant support
Participant01,Corpus1,A1,19,"""Hey Google, help.""",OK Google help
Participant01,Corpus1,A1,20,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week
Participant01,Corpus2,B1,1,"""Hey Google, what does an elephant sound like?""",hey Google what's an elephant sound like
Participant01,Corpus2,B1,2,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",Hey Google remind me at 10 a.m. tomorrow to take my lunch into work
Participant01,Corpus2,B1,3,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify
Participant01,Corpus2,B1,4,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by Lisa on Spotify
Participant01,Corpus2,B1,5,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant01,Corpus2,B1,6,"""Hey Google, read Women and Power.""",hey Google where do men and Power
Participant01,Corpus2,B1,7,"""Hey Google, move my music to the bedroom""",hey Google move my music to the bedroom
Participant01,Corpus2,B1,8,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story
Participant01,Corpus2,B1,9,"""Hey Google, Open Spotify.""",hey Google open Spotify
Participant01,Corpus2,B1,10,"""Hey Google, raise the temperature three degrees.""",hey Google where is the temperature to decrease
Participant01,Corpus2,B1,11,"""Hey Google, hang up.""",hey Google
Participant01,Corpus2,B1,12,"""Hey Google, broadcast 'time to leave for school'.""",hey Google
Participant01,Corpus2,B1,13,"""Hey Google, brighten the office lamp.""",OK Google by Kennedy office mam
Participant01,Corpus2,B1,14,"""Hey Google, what is today's headlines?""",hey Google what is today's headlines
