Participant,"Airpod,No-mask,Standing","Airpod,No-mask,Walking","Throat,No-mask,Standing","Throat,No-mask,Walking","Airpod,Mask,Standing","Airpod,Mask,Walking","Throat,Mask,Standing","Throat,Mask,Walking"
Participant01,0.3175595238095238,0.20670634920634917,0.2849206349206349,0.3172222222222222,0.1255952380952381,0.18884920634920635,0.3044751082251082,0.28309676434676434
Participant02,0.09061507936507936,0.09301587301587301,0.5415186202686202,0.4883333333333333,0.06158730158730158,0.08117063492063491,0.37996031746031744,0.36683108558108557
Participant03,0.2117171717171717,0.1125,0.46062049062049065,0.31182539682539684,0.15893620268620268,0.17765873015873015,0.408531746031746,0.5300187312687312
Participant04,0.19232142857142856,0.10742063492063492,0.40821428571428575,0.3624603174603175,0.13061507936507935,0.1384722222222222,0.4999007936507936,0.38602536352536354
Participant05,0.2153052503052503,0.03991452991452991,0.24061507936507934,0.27948412698412695,0.18936507936507935,0.09740079365079365,0.2926587301587301,0.2376785714285714
Participant06,0.0600595238095238,0.10269230769230768,0.3133531746031746,0.62375,0.1176190476190476,0.0636111111111111,0.5728373015873016,0.6708730158730158
Participant07,0.09623015873015872,0.11259795759795758,0.38188492063492063,0.39246031746031745,0.2188064713064713,0.3027136752136752,0.4934325396825397,0.3367857142857143
Participant08,0.13198412698412695,0.13014957264957266,0.5093650793650794,0.6854761904761905,0.14017246642246642,0.0811111111111111,0.4721855921855922,0.49855158730158733
Participant09,0.1405601343101343,0.23257936507936505,0.36597222222222225,0.30710012210012205,0.07999999999999999,0.12476190476190477,0.49852994227994224,0.21202380952380953
Participant10,0.0638095238095238,0.07388888888888889,0.08579059829059829,0.8048394660894662,0.07825396825396824,0.045,0.24464285714285716,0.7001190476190476
Participant11,0.22092171717171719,0.24099206349206348,0.3034920634920635,0.6263233988233988,0.2907677045177045,0.1471825396825397,0.4323683261183261,0.6634829059829059
Participant12,0.10420634920634919,0.1174206349206349,0.2617063492063492,0.46668498168498174,0.13859126984126985,0.1158008658008658,0.5411019536019536,0.4087301587301587
Participant13,0.5377442002442002,0.36450396825396825,0.8722420634920635,0.9866071428571429,0.30509920634920634,0.3893596681096681,0.6375703463203463,0.9507142857142856
Participant14,0.16839285714285712,0.08486111111111111,0.4055296092796093,0.4492460317460317,0.07319444444444444,0.23535256410256408,0.3615674603174603,0.31725108225108223
Participant15,0.18089285714285713,0.18103535353535355,0.32868506493506494,0.32501984126984124,0.22775793650793646,0.10941849816849816,0.36696428571428574,0.5597619047619047
Participant16,0.4174603174603174,0.41035714285714286,0.7146428571428571,0.7512896825396825,0.6234361471861471,0.5880015817515818,0.8850793650793651,0.8296825396825398
