Timestamp,"""Throat microphone"" Q1","""Airpod pro"" Q1","I would buy ""Airpod pro"" as I like the design.","""Airpod pro"" would make me look trendy","I would buy ""Throat microphone"" as I like the design.","I feel confident to walk outside using ""Throat microphone""","I feel confident to walk outside using ""Airpod pro"" ","""Throat microphone"" would make me look trendy","I prefer to use ""Throat microphone""","I prefer to use ""Airpod pro"" ","""Airpod pro"" make me feel painful.","""Throat microphone"" make me feel painful.","Design of ""throat microphone"" is awful","Design of ""Airpod pro"" is awful.","Feeling is weird when using the ""throat microphone""","Feeling is weird when using the ""airpod pro""","""Thorat microphone"" would make me look unfashionable","""Airpod pro"" would make me look unfashionable","I will refuse to use this ""throat microphone""","I will refuse to use this ""airpod pro"""
04-12-22 17:11,4,6,5,5,2,2,5,2,1,7,2,5,5,3,4,4,5,3,2,2
04-12-22 18:56,1,7,6,6,1,1,7,2,1,7,2,7,6,2,6,6,7,1,6,2
04-12-22 21:09,5,7,7,7,4,3,7,3,4,7,3,3,4,7,4,5,3,3,4,3
4/13/2022 12:19:06,4,7,7,7,4,3,7,3,2,7,1,2,3,1,5,1,3,1,3,1
4/13/2022 14:23:16,3,6,6,5,5,5,7,2,4,6,1,4,1,1,5,2,2,1,5,7
4/13/2022 15:14:40,4,6,6,6,1,1,6,4,1,6,2,4,6,3,6,2,4,2,5,1
4/13/2022 17:17:04,3,7,7,7,4,3,7,3,2,7,2,6,6,2,6,2,6,1,6,1
4/13/2022 17:21:00,4,6,6,6,6,4,6,6,5,6,1,1,2,1,3,2,4,2,5,6
4/13/2022 18:32:15,4,7,6,5,3,2,5,2,1,6,5,5,6,2,7,2,2,4,5,2
4/13/2022 19:08:14,6,7,7,6,5,4,6,4,4,6,3,4,4,2,3,2,4,2,5,1
4/13/2022 20:03:47,2,6,5,7,1,2,5,2,2,5,4,4,4,2,5,1,5,2,5,1
4/14/2022 14:13:57,3,7,7,6,3,4,7,4,3,7,1,1,3,3,2,3,3,1,4,4
4/14/2022 15:25:32,4,7,7,7,2,5,7,3,2,7,1,1,2,1,2,1,3,1,4,1
4/14/2022 16:16:56,5,6,6,7,4,5,7,4,5,7,1,1,1,1,3,1,2,2,3,3
4/14/2022 17:21:07,5,6,6,7,2,2,6,2,1,6,1,1,3,6,5,1,6,1,6,1
4/14/2022 18:08:26,4,7,7,7,4,7,7,1,1,7,1,1,1,1,6,1,1,1,1,1
Score,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,3,2,0,1,6,0,8,6,3,6,0,6,1,8,1,8
2,1,0,0,0,3,4,0,6,4,0,4,1,2,5,2,6,3,5,1,3
3,3,0,0,0,2,3,0,4,1,0,2,1,3,3,3,1,4,2,2,2
4,7,0,0,0,5,3,0,4,3,0,1,4,3,0,2,1,3,1,3,1
5,3,0,2,3,2,3,3,0,2,1,1,2,1,0,4,1,2,0,6,0
6,1,7,7,5,1,0,4,1,0,6,0,1,4,1,4,1,2,0,3,1
7,0,9,7,8,0,1,9,0,0,9,0,1,0,1,1,0,1,0,0,1
