Participant,"Airpod,No-mask,Standing","Airpod,No-mask,Walking","Throat,No-mask,Standing","Throat,No-mask,Walking","Airpod,Mask,Standing","Airpod,Mask,Walking","Throat,Mask,Standing","Throat,Mask,Walking"
Participant01,0.37876984126984126,0.2139285714285714,0.30412698412698413,0.32323412698412696,0.13601190476190475,0.1984126984126984,0.3044751082251082,0.28309676434676434
Participant02,0.10248015873015873,0.09777777777777777,0.5415186202686202,0.4883333333333333,0.06158730158730158,0.0896031746031746,0.38382936507936505,0.36683108558108557
Participant03,0.23755952380952378,0.11416666666666667,0.46466089466089466,0.31515873015873014,0.16905525030525032,0.18390873015873016,0.4225198412698413,0.5335901598401598
Participant04,0.19702380952380952,0.1092063492063492,0.41410714285714284,0.3624603174603175,0.13061507936507935,0.1472222222222222,0.4999007936507936,0.38602536352536354
Participant05,0.21849969474969475,0.03991452991452991,0.2529166666666666,0.3055555555555555,0.2006547619047619,0.10073412698412698,0.299781746031746,0.24035714285714285
Participant06,0.06369047619047619,0.10435897435897434,0.3161187423687424,0.6282142857142857,0.1176190476190476,0.06430555555555555,0.5924801587301587,0.683015873015873
Participant07,0.10059523809523807,0.11543345543345543,0.3866468253968254,0.39424603174603173,0.22118742368742367,0.3261706349206349,0.5083531746031745,0.34035714285714286
Participant08,0.13501984126984126,0.13014957264957266,0.5093650793650794,0.6854761904761905,0.1482972582972583,0.0811111111111111,0.4781379731379731,0.5068849206349206
Participant09,0.1405601343101343,0.23535714285714288,0.3676388888888889,0.3088858363858364,0.08648809523809524,0.1274404761904762,0.5108315295815296,0.21470238095238098
Participant10,0.06851190476190476,0.07865079365079365,0.08579059829059829,0.8048394660894662,0.07825396825396824,0.045,0.24761904761904763,0.7001190476190476
Participant11,0.2321825396825397,0.25450396825396826,0.30706349206349204,0.6550679875679876,0.2907677045177045,0.15619047619047619,0.4783730158730159,0.675138888888889
Participant12,0.10634920634920633,0.12700396825396826,0.2649206349206349,0.4852564102564102,0.14609126984126983,0.12531746031746033,0.5494352869352869,0.41438492063492066
Participant13,0.5377442002442002,0.3668849206349206,0.8722420634920635,0.9866071428571429,0.31033730158730155,0.3893596681096681,0.6375703463203463,0.9507142857142856
Participant14,0.17410714285714285,0.09055555555555556,0.4055296092796093,0.45192460317460315,0.07587301587301586,0.24743589743589745,0.36507936507936506,0.3195238095238095
Participant15,0.18208333333333332,0.18916666666666665,0.33136363636363636,0.33192460317460315,0.23389346764346763,0.11983516483516483,0.36815476190476193,0.5597619047619047
Participant16,0.4224603174603175,0.41035714285714286,0.7146428571428571,0.7547619047619047,0.6295472582972583,0.5880015817515818,0.8850793650793651,0.8296825396825398
