Participant,"Airpod,No-mask,Standing","Airpod,No-mask,Walking","Throat,No-mask,Standing","Throat,No-mask,Walking","Airpod,Mask,Standing","Airpod,Mask,Walking","Throat,Mask,Standing","Throat,Mask,Walking"
Participant01,-1.090903978932279,-1.542113098047846,-1.2275284973168266,-1.1293783669932906,-1.9950128620630454,-1.6174060820832774,-1.1891659415607685,-1.2619665162946134
Participant02,-2.278086072505721,-2.3250579488461045,-0.6133778266713135,-0.7167570461990792,-2.7872995727563508,-2.412364528789907,-0.9575571869248467,-1.0028537941507025
Participant03,-1.4373370603426165,-2.1700959099479666,-0.7664473982270983,-1.154678861808318,-1.7775296926042208,-1.6933156761836272,-0.861518871702146,-0.6281272256299227
Participant04,-1.6244306970202418,-2.2145160744462804,-0.881630539467709,-1.0148402797545704,-2.0355006065915835,-1.915812117898034,-0.6933456129447616,-0.9518522030610912
Participant05,-1.5209706614740368,-3.22101486311695,-1.374695225276539,-1.1856236656577395,-1.6061694501572896,-2.295270639112066,-1.204700582319619,-1.4256293665185675
Participant06,-2.7537202379353984,-2.259918646675143,-1.151637368988268,-0.4648739514257371,-2.1403042870835374,-2.7441092509179126,-0.5234378939088251,-0.3812371795410245
Participant07,-2.296650357474231,-2.1590610584879792,-0.9502435984953256,-0.9307801185135974,-1.508744865889575,-1.1203346145499495,-0.6765788473642187,-1.0777597925090932
Participant08,-2.0023335389738937,-2.0390709310692534,-0.6745902712697672,-0.37764151365928383,-1.9085365175529216,-2.5119353221759195,-0.737855941408973,-0.6794712821512507
Participant09,-1.9621198795677934,-1.446651161660788,-1.0006541027770455,-1.1747835318866298,-2.447748501821067,-2.0601058768016673,-0.6717154308447514,-1.5385024844878112
Participant10,-2.6807477566694677,-2.5427375586095815,-2.455845855524876,-0.21711244245746092,-2.547795738336934,-3.101092789211817,-1.3958638121360414,-0.356504890371449
Participant11,-1.4602314077112784,-1.3684388507596092,-1.1807007382390564,-0.423016250919784,-1.235230596857002,-1.8566790153273707,-0.7373644828842432,-0.3928368479586911
Participant12,-2.2410271999946123,-2.0635369469174565,-1.328324988717789,-0.7230778468061341,-1.9235237166907433,-2.0769050786839274,-0.5988642792522915,-0.8809599771281842
Participant13,-0.6203722961194224,-1.0027070478524738,-0.13668829784794886,-0.013483350337286988,-1.1700955033852185,-0.9432517658569622,-0.4500906608681863,-0.050541697208238444
Participant14,-1.7480844057253935,-2.4017917430774935,-0.902561388907214,-0.7942399201995972,-2.5786941798881684,-1.3966037307787518,-1.0076405104623831,-1.1409234867398328
Participant15,-1.703290821240447,-1.665126818294689,-1.1045389073377492,-1.1028474347281794,-1.4528895337705923,-2.1216381068632577,-0.999251880564762,-0.5802437557313903
Participant16,-0.861659759766812,-0.8907274183145396,-0.3359723615795619,-0.2813529374001334,-0.46275435556375283,-0.5310256410334178,-0.12207795993926418,-0.18671213366670208
